date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:01:04	48/48	U-----	200	untouched ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://angelfishcay5.godaddysites.com/robots.txt		(from )
14:01:05	144846/144846	U--MCZ	200	updated ('OK')	text/html	etag:273e52955fa133d1d22c5b5fa4d49798	https://angelfishcay5.godaddysites.com/	/home/wgs/websites/AC5-Static-Page/angelfishcay5.godaddysites.com/index.html	(from )
14:01:06	61101/61101	---M-Z	200	added ('OK')	application/javascript	etag:%221411dc27c00bd7ab2dfbea2605e3ab62%22	http://img1.wsimg.com/blobby/go/ba5c075e-ae71-432f-9270-908fd8568a94/gpub/f37cb1284e4a81da/script.js	/home/wgs/websites/AC5-Static-Page/img1.wsimg.com/blobby/go/ba5c075e-ae71-432f-9270-908fd8568a94/gpub/f37cb1284e4a81da/script.8.delayed	(from https://angelfishcay5.godaddysites.com/)
14:01:07	728/728	U--MCZ	200	updated ('OK')	application/json	etag:273e52955fa133d1d22c5b5fa4d49798	https://angelfishcay5.godaddysites.com/f.json	/home/wgs/websites/AC5-Static-Page/angelfishcay5.godaddysites.com/f.json	(from https://angelfishcay5.godaddysites.com/)
14:01:07	1178/1178	U--MCZ	200	updated ('OK')	application/atom+xml	etag:273e52955fa133d1d22c5b5fa4d49798	https://angelfishcay5.godaddysites.com/f.atom	/home/wgs/websites/AC5-Static-Page/angelfishcay5.godaddysites.com/f.atom	(from https://angelfishcay5.godaddysites.com/)
14:01:07	1343/1343	U--MCZ	200	updated ('OK')	application/rss+xml	etag:273e52955fa133d1d22c5b5fa4d49798	https://angelfishcay5.godaddysites.com/f.rss	/home/wgs/websites/AC5-Static-Page/angelfishcay5.godaddysites.com/f.rss	(from https://angelfishcay5.godaddysites.com/)
14:01:08	51184/51184	---M-Z	200	added ('OK')	application/javascript	etag:%228da43ed89012a77d30a61523f199996c%22	http://img1.wsimg.com/blobby/go/ba5c075e-ae71-432f-9270-908fd8568a94/gpub/cefe8f70233b7643/script.js	/home/wgs/websites/AC5-Static-Page/img1.wsimg.com/blobby/go/ba5c075e-ae71-432f-9270-908fd8568a94/gpub/cefe8f70233b7643/script.js	(from https://angelfishcay5.godaddysites.com/)
14:01:08	794/794	U-----	200	untouched ('')	image/jpeg	etag:1352372865	http://img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/:/rs=w:57,h:57,m	/home/wgs/websites/AC5-Static-Page/img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/_/rs=w_57,h_57,m.jpg	(from https://angelfishcay5.godaddysites.com/)
14:01:08	846/846	U-----	200	untouched ('')	image/jpeg	etag:749570575	http://img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/:/rs=w:60,h:60,m	/home/wgs/websites/AC5-Static-Page/img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/_/rs=w_60,h_60,m.jpg	(from https://angelfishcay5.godaddysites.com/)
14:01:08	981/981	U-----	200	untouched ('')	image/jpeg	etag:3050259853	http://img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/:/rs=w:72,h:72,m	/home/wgs/websites/AC5-Static-Page/img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/_/rs=w_72,h_72,m.jpg	(from https://angelfishcay5.godaddysites.com/)
14:01:08	423/423	U-----	200	untouched ('')	application/manifest+json	etag:d3a2267be7015810ea562f1120a1365d	https://angelfishcay5.godaddysites.com/manifest.webmanifest	/home/wgs/websites/AC5-Static-Page/angelfishcay5.godaddysites.com/manifest.webmanifest	(from https://angelfishcay5.godaddysites.com/)
14:01:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Jan%202024%2019:01:10%20GMT	http://img1.wsimg.com/traffic-assets/js/tccl.min.js	/home/wgs/websites/AC5-Static-Page/img1.wsimg.com/traffic-assets/js/tccl.min.js	(from https://angelfishcay5.godaddysites.com/)
14:01:10	103/103	U-----	200	untouched ('OK')	text/plain	etag:%227f92add3bae1d01:0%22	http://img1.wsimg.com/robots.txt		(from https://angelfishcay5.godaddysites.com/)
