date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:22:15	48/48	---MCZ	200	added ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://angelfishcay5.godaddysites.com/robots.txt		(from )
09:22:16	144889/144889	---MCZ	200	added ('OK')	text/html	etag:eda4e4211ae0005d3ae169fa6f97f5d0	https://angelfishcay5.godaddysites.com/	/home/wgs/websites/AC5-Static-Page/angelfishcay5.godaddysites.com/index.html	(from )
09:22:17	1178/1178	---MCZ	200	added ('OK')	application/atom+xml	etag:eda4e4211ae0005d3ae169fa6f97f5d0	https://angelfishcay5.godaddysites.com/f.atom	/home/wgs/websites/AC5-Static-Page/angelfishcay5.godaddysites.com/f.atom	(from https://angelfishcay5.godaddysites.com/)
09:22:18	728/728	---MCZ	200	added ('OK')	application/json	etag:eda4e4211ae0005d3ae169fa6f97f5d0	https://angelfishcay5.godaddysites.com/f.json	/home/wgs/websites/AC5-Static-Page/angelfishcay5.godaddysites.com/f.json	(from https://angelfishcay5.godaddysites.com/)
09:22:19	1343/1343	---MCZ	200	added ('OK')	application/rss+xml	etag:eda4e4211ae0005d3ae169fa6f97f5d0	https://angelfishcay5.godaddysites.com/f.rss	/home/wgs/websites/AC5-Static-Page/angelfishcay5.godaddysites.com/f.rss	(from https://angelfishcay5.godaddysites.com/)
09:22:20	423/423	---MCZ	200	added ('OK')	application/manifest+json	etag:d3a2267be7015810ea562f1120a1365d	https://angelfishcay5.godaddysites.com/manifest.webmanifest	/home/wgs/websites/AC5-Static-Page/angelfishcay5.godaddysites.com/manifest.webmanifest	(from https://angelfishcay5.godaddysites.com/)
09:22:20	794/794	---M--	200	added ('OK')	image/jpeg	etag:1352372865	http://img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/:/rs=w:57,h:57,m	/home/wgs/websites/AC5-Static-Page/img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/_/rs=w_57,h_57,m.jpg	(from https://angelfishcay5.godaddysites.com/)
09:22:21	846/846	---M--	200	added ('OK')	image/jpeg	etag:749570575	http://img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/:/rs=w:60,h:60,m	/home/wgs/websites/AC5-Static-Page/img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/_/rs=w_60,h_60,m.jpg	(from https://angelfishcay5.godaddysites.com/)
09:22:22	981/981	---M--	200	added ('OK')	image/jpeg	etag:3050259853	http://img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/:/rs=w:72,h:72,m	/home/wgs/websites/AC5-Static-Page/img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/_/rs=w_72,h_72,m.jpg	(from https://angelfishcay5.godaddysites.com/)
09:22:23	1559/1559	---M--	200	added ('OK')	image/jpeg	etag:3387627347	http://img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/:/rs=w:114,h:114,m	/home/wgs/websites/AC5-Static-Page/img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/_/rs=w_114,h_114,m.jpg	(from https://angelfishcay5.godaddysites.com/)
09:22:24	1593/1593	---M--	200	added ('OK')	image/jpeg	etag:2777747674	http://img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/:/rs=w:120,h:120,m	/home/wgs/websites/AC5-Static-Page/img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/_/rs=w_120,h_120,m.jpg	(from https://angelfishcay5.godaddysites.com/)
09:22:25	1855/1855	---M--	200	added ('OK')	image/jpeg	etag:2330377803	http://img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/:/rs=w:144,h:144,m	/home/wgs/websites/AC5-Static-Page/img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/_/rs=w_144,h_144,m.jpg	(from https://angelfishcay5.godaddysites.com/)
